Year,Month,Temperature,Precipitation
2018,6,18.5,140.1
2018,7,20.5,113.3
2018,8,20.5,31.3
2018,9,16.4,19.4
2018,10,10.6,23.8
2018,11,5.6,41.3
2018,12,4,98.5
2019,1,0.8,18.1
2019,2,2.9,39.7
2019,3,6.9,44.2
2019,4,8.9,60.4
2019,5,11.2,90.1
2019,6,19.1,82.1
2019,7,21,88.6
2019,8,19.2,125.6
2019,9,15.6,36.5
2019,10,11.7,128.6
2019,11,5.2,84.7
2019,12,3.7,66
2020,1,1.9,24.2
2020,2,6.3,82.8
2020,3,5.9,41.9
2020,4,11.4,60.1
2020,5,13.9,58.6
2020,6,16.4,156.3
2020,7,19.9,89.7
2020,8,19.3,117.5
2020,9,15.8,90.7
2020,10,9.1,146.1
2020,11,5.3,28.3
2020,12,2.7,63.6
2021,1,1.3,70.3
2021,2,4,26.2
2021,3,5.4,40.1
2021,4,7.9,39.9
2021,5,11,165.7
2021,6,18.5,167.5
2021,7,18.4,204.8
2021,8,17.6,57
2021,9,16,45.4
2021,10,9.1,55.9
2021,11,3.8,17.6
2021,12,2.1,89.1
2022,1,1.1,29.8
2022,2,4.1,30.2
2022,3,6.2,13.8
2022,4,9,65.1
2022,5,15.9,14.7
2022,6,19.5,98.3
2022,7,21.5,60.5
2022,8,20.7,57.3
2022,9,14.3,207
2022,10,13.3,69.5
2022,11,7.1,73.6
2022,12,3.3,95.8
2023,1,2.7,52.2
2023,2,3,1.9
2023,3,7.1,64.3
2023,4,8.5,56.8
2023,5,14,34.8
2023,6,19.7,22
2023,7,20.9,90.6
2023,8,20.6,68.9
2023,9,18.1,54.7
2023,10,12.7,131.2
2023,11,6.2,205.4
2023,12,4.1,132.8
2024,1,2.6,75.3
2024,2,6.6,39.7
2024,3,7.5,60.2
2024,4,9.6,29.8
