Year,Month,Temperature,Precipitation
2016,3,8.7,108.9
2016,4,13.4,71
2016,5,15.5,267.7
2016,6,19.8,226.8
2016,7,23,225.6
2016,8,22.1,211.5
2016,9,20.3,89.6
2016,10,12.3,126.8
2016,11,8.6,175.1
2016,12,5.6,1.4
2017,1,2.2,7.1
2017,2,6.2,99.8
2017,3,11,71.4
2017,4,13.3,129
2017,5,17.1,119.6
2017,6,22.3,493.3
2017,7,23.2,55.9
2017,8,23,164.4
2017,9,16.7,141.3
2017,10,14.4,4.5
2017,11,8.2,99.9
2017,12,3.3,123.2
2018,1,5.6,76.4
2018,2,3.8,14.1
2018,3,7.1,140.6
2018,4,14.1,158.7
2018,5,16.8,251.4
2018,6,21.7,56.5
2018,7,23.9,96.9
2018,8,23.3,201.8
2018,9,19.8,32.7
2018,10,15.3,240.3
2018,11,9.7,193.9
2018,12,5.5,8.9
2019,1,5.1,6.9
2019,2,6.4,50.2
2019,3,10,52.6
2019,4,12.3,170.2
2019,5,14.5,74.7
2019,6,22.6,120.1
2019,7,24.5,56.9
2019,8,22.4,282.5
2019,9,18.9,64.5
2019,10,14.9,235.9
2019,11,8.3,361.6
2019,12,6.3,199.1
2020,1,5,5.6
2020,2,7.8,0.9
2020,3,8.6,93.7
2020,4,13.4,100.8
2020,5,17.6,220
2020,6,19.7,293.7
2020,7,23.1,47.4
2020,8,23.1,200.3
2020,9,18.9,125
2020,10,12.3,287.8
2020,11,9.5,2.8
2020,12,4.9,164
2021,1,3.5,111.9
2021,2,7,67
2021,3,9.2,6.5
2021,4,11,76.9
2021,5,15.1,155
2021,6,22.2,47.6
2021,7,22.2,297.3
2021,8,21.8,192.1
2021,9,19.2,188.2
2021,10,12.7,133.9
2021,11,8.5,147.3
2021,12,5.1,19.9
2022,1,5.4,9.1
2022,2,7.1,16.6
2022,3,8.4,12.4
2022,4,12.3,68.1
2022,5,18.6,69.6
2022,6,22.5,162.3
2022,7,25.4,90.3
2022,8,24,85.9
2022,9,18.1,250.6
2022,10,15.7,194.5
2022,11,9.7,63.5
2022,12,5.4,73.5
2023,1,5.4,25
2023,2,6.8,1.9
2023,3,10.1,56.6
2023,4,12.4,105.8
2023,5,16.5,167.7
2023,6,21.6,160.8
2023,7,23.4,203.8
2023,8,23.3,182.5
2023,9,19.8,185.4
2023,10,15.9,216.8
2023,11,8.5,73.6
2023,12,7,81.9
2024,1,5.2,47.2
2024,2,8,193.1
2024,3,10,231.9
